date,facility,borrower_state_clean,principal_amount_of_loan_when_purchased_by_mslp
2020-08-18,MSNLF,CA,1134000
2020-08-11,MSNLF,SD,5000000
2020-08-24,MSPLF,FL,10300000
2020-08-24,MSNLF,PA,6500000
2020-08-21,MSNLF,PA,4200000
2020-08-20,MSPLF,TX,3000000
2020-08-24,MSPLF,IL,50000000
2020-08-10,MSNLF,TX,1500000
2020-08-13,MSNLF,LA,1000000
2020-07-31,MSNLF,CA,25000000
2020-08-24,MSNLF,FL,3000000
2020-08-11,MSPLF,CA,4750000
2020-08-04,MSNLF,MA,25000000
2020-08-17,MSELF,PA,71050000
2020-08-14,MSNLF,IL,7400000
2020-08-25,MSELF,TX,11000000
2020-08-21,MSPLF,CO,22271670
2020-08-12,MSNLF,WI,2000000
2020-08-18,MSPLF,LA,1100000
2020-08-25,MSPLF,CA,43350000
2020-08-20,MSPLF,OK,3690336
2020-08-26,MSNLF,FL,1000000
2020-08-11,MSPLF,GA,15000000
2020-08-12,MSNLF,MA,516250
2020-08-24,MSPLF,AR,2000000
2020-08-28,MSPLF,FL,4000000
2020-08-26,MSNLF,FL,2600000
2020-08-30,MSNLF,FL,600000
2020-08-30,MSNLF,FL,890000
2020-08-30,MSNLF,FL,2250000
2020-08-28,MSPLF,FL,1484394
2020-08-31,MSNLF,FL,1000000
2020-08-30,MSNLF,FL,500000
2020-08-21,MSPLF,TX,9670518
2020-08-17,MSPLF,OK,469651
2020-08-18,MSPLF,GA,5927778
2020-08-28,MSNLF,FL,29000000
2020-08-21,MSPLF,OK,4292929
2020-08-30,MSNLF,FL,35000000
2020-07-24,MSPLF,AR,5878609
2020-08-28,MSPLF,FL,9500000
2020-08-30,MSNLF,FL,910000
2020-08-28,MSNLF,FL,700000
2020-07-28,MSNLF,MN,2600000
2020-08-17,MSNLF,CA,4400000
2020-08-20,MSNLF,IL,12000000
2020-08-25,MSNLF,TX,310160
2020-08-28,MSNLF,FL,12382652
2020-08-31,MSPLF,FL,4860000
2020-08-31,MSNLF,CT,22626000
2020-08-28,MSPLF,FL,1250000
2020-08-20,MSPLF,CA,47000000
2020-08-24,MSNLF,CA,250000
2020-08-31,MSPLF,OK,2307216
2020-08-19,MSNLF,TX,500000
2020-09-03,MSPLF,OK,4375470
2020-09-03,MSNLF,OK,612000
2020-08-31,MSNLF,LA,869000
2020-09-02,MSPLF,OK,1206180
2020-08-28,MSPLF,CA,1700000
2020-09-04,MSNLF,NE,750000
2020-08-31,MSNLF,TX,6000000
2020-09-08,MSNLF,PA,35000000
2020-08-27,MSPLF,OK,7931936.46
2020-09-01,MSPLF,CA,2500000
2020-09-11,MSNLF,CO,9400000
2020-07-31,MSNLF,VA,4000000
2020-09-02,MSPLF,TX,29000000
2020-09-04,MSPLF,OK,40800000
2020-08-21,MSPLF,OK,5610000
2020-09-03,MSPLF,FL,8000000
2020-08-28,MSELF,AR,31905000
2020-09-04,MSPLF,TX,3500000
2020-08-28,MSPLF,TX,1250000
2020-08-06,MSNLF,VA,7249000
2020-09-10,MSNLF,OK,2500000
2020-09-14,MSNLF,CA,350000
2020-09-14,MSNLF,CA,14000000
2020-08-28,MSNLF,NY,1500000
2020-09-16,MSPLF,FL,2420000
2020-09-04,MSNLF,VA,14110930
2020-09-03,MSELF,MO,69475000
2020-09-08,MSPLF,CA,2000000
2020-09-10,MSPLF,FL,500000
2020-08-25,MSNLF,CO,5815760
2020-09-16,MSPLF,KY,9200000
2020-09-16,MSPLF,KY,3500000
2020-09-16,MSPLF,FL,50000000
2020-09-01,MSPLF,TX,6750000
2020-09-03,MSPLF,SD,6500000
2020-09-17,MSPLF,CA,4318856
2020-09-17,MSNLF,FL,1000000
2020-09-03,MSPLF,VA,1940000
2020-09-09,MSPLF,SC,2800000
2020-09-09,MSPLF,SC,1200000
2020-09-11,MSPLF,MA,1650000
2020-08-27,MSPLF,NE,10000000
2020-09-11,MSPLF,NY,850000
2020-09-18,MSPLF,TX,35000000
2020-09-18,MSNLF,FL,1780306
2020-09-18,MSNLF,FL,790500
2020-09-18,MSNLF,FL,250000
2020-09-21,MSNLF,FL,379100
2020-09-21,MSNLF,FL,2200000
2020-09-15,MSNLF,CA,7000000
2020-09-11,MSPLF,AZ,27095495
2020-09-09,MSNLF,KS,2647176
2020-09-01,MSPLF,TX,2750000
2020-09-10,MSNLF,MI,600000
2020-09-10,MSNLF,CA,1500000
2020-08-31,MSPLF,CO,48477819
2020-09-15,MSNLF,GA,25000000
2020-09-10,MSPLF,TX,5827494.79
2020-09-21,MSNLF,FL,1200000
2020-08-25,MSNLF,ND,5000000
2020-09-16,MSPLF,OK,7500000
2020-08-18,MSPLF,CA,2711400
2020-09-08,MSNLF,FL,5000000
2020-09-18,MSPLF,FL,4369860
2020-09-17,MSNLF,FL,1076832
2020-09-22,MSPLF,NJ,1910000
2020-09-15,MSNLF,NY,250000
2020-09-01,MSNLF,CA,4500000
2020-09-18,MSPLF,FL,7132100
2020-09-02,MSPLF,FL,4995124
2020-09-23,MSPLF,FL,1500000
2020-09-23,MSPLF,FL,4131372
2020-09-09,MSPLF,OR,6668000
2020-09-03,MSNLF,OR,1500000
2020-09-22,MSPLF,TX,41699582
2020-09-18,MSPLF,KS,3794913
2020-09-21,MSNLF,LA,1105000
2020-09-22,MSPLF,FL,12300000
2020-09-24,MSNLF,MI,9000000
2020-09-24,MSNLF,FL,650000
2020-09-15,MSNLF,LA,2750000
2020-09-24,MSPLF,OR,10962450
2020-09-01,MSPLF,MA,5200000
2020-09-11,MSNLF,OK,424168
2020-09-25,MSPLF,TX,11487122
2020-09-23,MSPLF,FL,901370
2020-09-25,MSPLF,TX,30000000
2020-09-25,MSPLF,TX,25000000
2020-09-22,MSELF,TX,10000000
2020-09-17,MSPLF,IN,40000000
2020-09-24,MSPLF,TX,2034197
2020-09-25,MSPLF,TX,4708213.84
2020-09-25,MSNLF,FL,3000000
2020-09-25,MSPLF,TX,10000000
2020-09-24,MSNLF,FL,5800000
2020-09-23,MSELF,CT,90000000
2020-09-28,MSPLF,TX,8300418
2020-09-25,MSNLF,TX,25000000
2020-09-15,MSPLF,OH,8606600
2020-09-15,MSPLF,OH,16487050
2020-09-24,MSPLF,KS,38895658
2020-09-29,MSNLF,FL,1050000
2020-09-29,MSPLF,FL,7590700
2020-09-30,MSPLF,FL,1629000
2020-09-30,MSPLF,FL,2790000
2020-09-30,MSNLF,FL,2000000
2020-09-25,MSPLF,IA,30580870
2020-09-11,MSPLF,TX,1000000
2020-09-30,MSNLF,FL,1250000
2020-09-30,MSNLF,FL,1500000
2020-09-11,MSNLF,OK,35000000
2020-09-23,MSPLF,CA,35000000
2020-09-15,MSPLF,MN,6500000
2020-09-30,MSPLF,TX,15000000
2020-10-01,MSPLF,FL,8000000
2020-09-25,MSPLF,TX,32400000
2020-09-30,MSPLF,GA,3116640.5
2020-09-30,MSPLF,TX,4000000
2020-10-06,MSNLF,FL,1300000
2020-10-01,MSPLF,TX,782000
2020-08-26,MSELF,IL,20000000
2020-09-24,MSNLF,LA,300000
2020-10-01,MSNLF,UT,1015000
2020-10-02,MSNLF,FL,2000000
2020-10-05,MSPLF,OK,6534871
2020-09-24,MSPLF,NV,530030
2020-09-24,MSPLF,OR,2835228
2020-10-06,MSNLF,FL,300000
2020-09-23,MSPLF,NJ,5000000
2020-09-30,MSPLF,OK,12000000
2020-09-30,MSPLF,TX,5350000
2020-10-02,MSPLF,TX,50000000
2020-09-28,MSPLF,MS,24794866.02
2020-09-30,MSPLF,FL,4454082
2020-09-23,MSPLF,FL,2000000
2020-09-30,MSPLF,IL,5000000
2020-09-28,MSPLF,GA,1150000
2020-10-05,MSPLF,FL,4000000
2020-10-06,MSNLF,FL,10429600
2020-10-05,MSPLF,NJ,4000000
2020-10-05,MSPLF,FL,500000
2020-09-30,MSNLF,MI,850000
2020-10-05,MSNLF,FL,2400000
2020-10-06,MSNLF,NE,1103500
2020-10-07,MSNLF,FL,1000000
2020-10-06,MSNLF,FL,3639980
2020-10-05,MSNLF,FL,1625000
2020-09-23,MSELF,GA,250000000
2020-10-06,MSPLF,NY,15000000
2020-09-24,MSPLF,LA,621000
2020-09-18,MSPLF,OK,3017000
2020-10-05,MSPLF,NJ,2107461
2020-09-29,MSPLF,MN,550000
2020-09-28,MSELF,MO,22000000
2020-10-08,MSPLF,FL,15000000
2020-10-01,MSPLF,TX,2253639.74
2020-10-05,MSNLF,LA,4000000
2020-10-07,MSPLF,TX,9300000
2020-09-29,MSNLF,CA,3750000
2020-10-07,MSPLF,TX,3471850.96
2020-09-24,MSNLF,TX,6283164.11
2020-09-24,MSPLF,WA,6000000
2020-09-25,MSNLF,LA,564000
2020-10-09,MSNLF,CA,5820000
2020-09-29,MSPLF,NY,7000000
2020-09-24,MSPLF,TX,50000000
2020-10-05,MSNLF,MD,2550000
2020-10-05,MSNLF,NY,3500000
2020-10-12,MSPLF,FL,3446356
2020-10-13,MSNLF,PA,5362500
2020-10-06,MSPLF,CA,2645000
2020-10-14,MSPLF,TX,40000000
2020-10-07,MSPLF,UT,14500000
2020-10-07,MSNLF,RI,25000000
2020-10-02,MSNLF,LA,306000
2020-10-02,MSNLF,LA,457000
2020-09-22,MSPLF,KS,774478
2020-10-07,MSNLF,FL,2500000
2020-10-06,MSPLF,TN,30000000
2020-09-30,MSPLF,TX,21511252
2020-10-12,MSPLF,LA,5000000
2020-10-13,MSNLF,FL,468000
2020-10-14,MSPLF,CA,6000000
2020-10-08,MSPLF,MI,7500000
2020-09-28,MSPLF,WA,17000000
2020-10-13,MSPLF,CA,10047000
2020-10-16,MSNLF,FL,627000
2020-10-07,MSPLF,OK,8916330
2020-10-14,MSPLF,FL,460000
2020-10-15,MSNLF,FL,4495000
2020-10-07,MSPLF,TX,4300000
2020-09-17,MSPLF,CA,5878998
2020-10-09,MSPLF,LA,8000000
2020-10-16,MSELF,TN,30000000
2020-10-06,MSNLF,CA,4500000
2020-10-06,MSPLF,CA,3050000
2020-10-13,MSNLF,AR,3000000
2020-10-08,MSNLF,UT,17648000
2020-10-06,MSNLF,SD,250000
2020-10-06,MSNLF,SD,500000
2020-10-14,MSNLF,IL,4500000
2020-10-15,MSPLF,AL,50000000
2020-09-30,MSNLF,UT,29975000
2020-10-02,MSNLF,NV,790548
2020-10-06,MSNLF,CA,8451100
2020-09-28,MSNLF,CA,1000000
2020-10-15,MSPLF,FL,2250000
2020-10-13,MSNLF,FL,400000
2020-10-19,MSNLF,FL,1500000
2020-10-19,MSNLF,FL,4088800
2020-10-21,MSNLF,FL,732276
2020-10-21,MSNLF,FL,836231
2020-10-16,MSNLF,TX,12867264
2020-10-14,MSNLF,CA,2500000
2020-09-17,MSPLF,MS,50000000
2020-09-30,MSNLF,UT,4000000
2020-10-08,MSPLF,CA,19750000
2020-10-09,MSPLF,LA,1165500
2020-10-16,MSNLF,FL,15400000
2020-10-14,MSPLF,IN,10000000
2020-10-19,MSPLF,NJ,705884
2020-10-15,MSPLF,SD,685000
2020-10-14,MSPLF,WI,5000000
2020-10-13,MSPLF,CA,8000000
2020-10-14,MSPLF,IN,2500000
2020-10-23,MSNLF,FL,573000
2020-10-22,MSPLF,FL,3180900
2020-10-16,MSNLF,FL,4250000
2020-10-06,MSPLF,TN,1740000
2020-10-21,MSPLF,WI,1138980
2020-10-14,MSNLF,FL,4859278
2020-10-15,MSNLF,TX,35000000
2020-10-07,MSPLF,TX,16000000
2020-10-26,MSNLF,FL,700000
2020-10-22,MSNLF,CA,2000000
2020-09-29,MSNLF,IL,3600000
2020-10-22,MSPLF,TX,9793717
2020-10-14,MSNLF,NV,1421844
2020-10-23,MSPLF,DC,27000000
2020-10-02,MSPLF,NY,16000000
2020-10-16,MSNLF,MA,1550000
2020-10-22,MSPLF,TX,50000000
2020-10-21,MSPLF,NV,2241800
2020-10-23,MSPLF,TX,2359897
2020-10-27,MSPLF,FL,3000000
2020-09-28,MSPLF,DE,4745500
2020-10-16,MSPLF,TX,1700000
2020-10-26,MSNLF,FL,6200000
2020-10-23,MSNLF,FL,350000
2020-10-22,MSPLF,OK,24510000
2020-10-14,MSPLF,FL,1368696
2020-10-26,MSPLF,CA,35000000
2020-10-16,MSPLF,KY,3454000
2020-10-22,MSPLF,FL,7889159
2020-10-23,MSNLF,OK,5500000
2020-10-09,MSPLF,CA,32500000
2020-10-23,MSNLF,VA,800000
2020-10-19,MSPLF,TX,13500000
2020-10-14,MSPLF,CO,11744318
2020-10-09,MSPLF,CA,13500000
2020-10-21,MSPLF,CO,2595000
2020-10-13,MSPLF,WA,10500000
